"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 12:43:27 IST 2022","Tue Sep 13 12:43:29 IST 2022","1925","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 12:43:24 IST 2022","Tue Sep 13 12:43:27 IST 2022","3526","","Running all api tests","","Sample GET method API test","","Sample GET method API test",""
"passed","Tue Sep 13 12:43:30 IST 2022","Tue Sep 13 12:43:31 IST 2022","1013","","Running all api tests","","Sample DELETE method API test","","Sample DELETE method API test",""
"passed","Tue Sep 13 12:43:27 IST 2022","Tue Sep 13 12:43:29 IST 2022","1900","","Running all api tests","","Sample POST method API test","","Sample POST method API test",""
"passed","Tue Sep 13 12:43:29 IST 2022","Tue Sep 13 12:43:30 IST 2022","1098","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 12:43:31 IST 2022","Tue Sep 13 12:43:32 IST 2022","629","","Running all api tests","","Sample GET method API test with query parameters","","Sample GET method API test with query parameters",""
"passed","Tue Sep 13 12:43:31 IST 2022","Tue Sep 13 12:43:32 IST 2022","650","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 12:43:30 IST 2022","Tue Sep 13 12:43:31 IST 2022","1040","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 12:43:23 IST 2022","Tue Sep 13 12:43:27 IST 2022","3878","Default Suite","SkJavaConsumerDirect-CodeClenUp","com.scripted.runners.APITestRunner","com.scripted.runners.APITestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Sep 13 12:43:29 IST 2022","Tue Sep 13 12:43:30 IST 2022","1074","","Running all api tests","","Sample PUT method API test","","Sample PUT method API test",""
